"","sum","Year"
"Thawed_N_1",6.72601019474137,1850
"Thawed_N_2",6.97256407028999,1851
"Thawed_N_3",6.89445462906694,1852
"Thawed_N_4",7.38188802330724,1853
"Thawed_N_5",7.58732010499797,1854
"Thawed_N_6",7.06069671177693,1855
"Thawed_N_7",7.86184058512903,1856
"Thawed_N_8",8.04449275731778,1857
"Thawed_N_9",8.16946006206778,1858
"Thawed_N_10",7.30003875343899,1859
"Thawed_N_11",7.98808586088185,1860
"Thawed_N_12",7.68912495925712,1861
"Thawed_N_13",7.77682636360043,1862
"Thawed_N_14",7.24588166006244,1863
"Thawed_N_15",7.65147120501747,1864
"Thawed_N_16",7.56682618502249,1865
"Thawed_N_17",7.45507817512717,1866
"Thawed_N_18",7.68436782193396,1867
"Thawed_N_19",7.12379643368232,1868
"Thawed_N_20",7.18955970938847,1869
"Thawed_N_21",7.60290216803198,1870
"Thawed_N_22",7.3232575019412,1871
"Thawed_N_23",7.58052098427556,1872
"Thawed_N_24",7.71583818172736,1873
"Thawed_N_25",7.53623874401631,1874
"Thawed_N_26",8.20310024324366,1875
"Thawed_N_27",8.13522130900468,1876
"Thawed_N_28",8.62592324636278,1877
"Thawed_N_29",8.52635670599984,1878
"Thawed_N_30",8.23840307686779,1879
"Thawed_N_31",7.98959082079967,1880
"Thawed_N_32",8.50475039702279,1881
"Thawed_N_33",8.12479748385632,1882
"Thawed_N_34",8.32666144546353,1883
"Thawed_N_35",8.04518482154278,1884
"Thawed_N_36",7.84639646331289,1885
"Thawed_N_37",8.47832794791542,1886
"Thawed_N_38",7.75482018745175,1887
"Thawed_N_39",8.11676056020777,1888
"Thawed_N_40",8.16706318696793,1889
"Thawed_N_41",8.14402406368881,1890
"Thawed_N_42",7.42504109694912,1891
"Thawed_N_43",8.17978030918909,1892
"Thawed_N_44",8.19052576847181,1893
"Thawed_N_45",8.39998966688358,1894
"Thawed_N_46",7.7578590087276,1895
"Thawed_N_47",8.40075971260964,1896
"Thawed_N_48",8.3593846051545,1897
"Thawed_N_49",8.26142169378706,1898
"Thawed_N_50",8.35321014682029,1899
"Thawed_N_51",8.65047906974388,1900
"Thawed_N_52",8.43089028455924,1901
"Thawed_N_53",8.48705393063669,1902
"Thawed_N_54",7.50076096428752,1903
"Thawed_N_55",7.79866067812099,1904
"Thawed_N_56",8.12493164884064,1905
"Thawed_N_57",8.11295891325415,1906
"Thawed_N_58",7.85223440282797,1907
"Thawed_N_59",8.14938970906208,1908
"Thawed_N_60",8.29963983847926,1909
"Thawed_N_61",8.05478436313822,1910
"Thawed_N_62",7.90522590916404,1911
"Thawed_N_63",7.92382570630475,1912
"Thawed_N_64",7.75373063322565,1913
"Thawed_N_65",7.42617069888782,1914
"Thawed_N_66",7.69071464302889,1915
"Thawed_N_67",7.39105000824067,1916
"Thawed_N_68",7.07936436275168,1917
"Thawed_N_69",7.66410690237734,1918
"Thawed_N_70",7.69219976853967,1919
"Thawed_N_71",7.37673122569629,1920
"Thawed_N_72",7.66753568382809,1921
"Thawed_N_73",7.84438656706243,1922
"Thawed_N_74",8.44665099999154,1923
"Thawed_N_75",8.07602660153952,1924
"Thawed_N_76",8.2910641119403,1925
"Thawed_N_77",7.95697274623713,1926
"Thawed_N_78",8.40452618089425,1927
"Thawed_N_79",8.71674227002887,1928
"Thawed_N_80",8.30850091481325,1929
"Thawed_N_81",8.17619329326782,1930
"Thawed_N_82",8.20229347024257,1931
"Thawed_N_83",8.4019637860288,1932
"Thawed_N_84",8.01786533445814,1933
"Thawed_N_85",8.18938621443943,1934
"Thawed_N_86",7.993057617442,1935
"Thawed_N_87",7.8493887621979,1936
"Thawed_N_88",8.02567089278481,1937
"Thawed_N_89",8.37805942107632,1938
"Thawed_N_90",8.7605341841493,1939
"Thawed_N_91",8.92361888872844,1940
"Thawed_N_92",8.25995551184836,1941
"Thawed_N_93",8.44184394860963,1942
"Thawed_N_94",8.35228737532205,1943
"Thawed_N_95",8.29683135322689,1944
"Thawed_N_96",9.02220474321353,1945
"Thawed_N_97",8.94404239275082,1946
"Thawed_N_98",8.77543131313909,1947
"Thawed_N_99",8.84009201780874,1948
"Thawed_N_100",8.74439762792374,1949
"Thawed_N_101",8.28295360172978,1950
"Thawed_N_102",8.62760899454546,1951
"Thawed_N_103",8.81362003724351,1952
"Thawed_N_104",9.07065559251293,1953
"Thawed_N_105",8.96333954841176,1954
"Thawed_N_106",8.98304384079238,1955
"Thawed_N_107",8.89074050884968,1956
"Thawed_N_108",9.11675148485248,1957
"Thawed_N_109",8.398902958483,1958
"Thawed_N_110",8.77870063127451,1959
"Thawed_N_111",8.89474856799268,1960
"Thawed_N_112",8.79748124907628,1961
"Thawed_N_113",8.61821751624779,1962
"Thawed_N_114",9.35186579793911,1963
"Thawed_N_115",8.82409424341808,1964
"Thawed_N_116",8.67575801500396,1965
"Thawed_N_117",8.43867320984005,1966
"Thawed_N_118",7.94109434179081,1967
"Thawed_N_119",8.14845006183531,1968
"Thawed_N_120",8.83695273435121,1969
"Thawed_N_121",8.92470628735878,1970
"Thawed_N_122",7.99949724702396,1971
"Thawed_N_123",7.82376644045929,1972
"Thawed_N_124",8.48485540276303,1973
"Thawed_N_125",7.8308564621687,1974
"Thawed_N_126",7.99244252756444,1975
"Thawed_N_127",8.20145512940776,1976
"Thawed_N_128",8.57677727260699,1977
"Thawed_N_129",8.51023212004085,1978
"Thawed_N_130",8.52830418875452,1979
"Thawed_N_131",8.86448128125891,1980
"Thawed_N_132",8.43678921248252,1981
"Thawed_N_133",8.32816906675231,1982
"Thawed_N_134",8.11412301368305,1983
"Thawed_N_135",8.24575763870042,1984
"Thawed_N_136",8.58374911461863,1985
"Thawed_N_137",8.5059632274765,1986
"Thawed_N_138",8.3903112165903,1987
"Thawed_N_139",8.42846951253922,1988
"Thawed_N_140",8.54138167234504,1989
"Thawed_N_141",8.23020876842241,1990
"Thawed_N_142",8.36659195349051,1991
"Thawed_N_143",8.73673631595451,1992
"Thawed_N_144",8.765835608617,1993
"Thawed_N_145",8.50622382666597,1994
